[progress] browser launching WebGPU harness...
[progress] browser resolved modelUrl=/models/local/gemma-3-1b-it
[browser:error] Failed to load resource: the server responded with a status of 404 (Not Found)
[browser:log] [217.0ms][OPFSCache] Cache hit: "gemma-3-1b-it"
[browser:log] [GPU] apple metal-3, f16/subgroups, 4.0GB
[browser:log] [229.9ms][Config] Using manifest-first config (source of truth)
[browser:log] [230.6ms][Pipeline] KernelPath: gemma3-f16-f16a (15 decode steps, 10 kernels, source=config)
[browser:log] [230.7ms][Pipeline] 26L/1152H/4heads (256dim), kernelPath=gemma3-f16-f16a
[browser:log] [230.9ms][Tokenizer] Loading bundled tokenizer from tokenizer.json
[browser:log] [373.2ms][Tokenizer] HuggingFace model.type="BPE", using type="bpe"
[browser:log] [598.1ms][Tokenizer] Loaded HuggingFace 262145 tokens (bpe), 9 special patterns, 514906 merges
[browser:log] [598.1ms][Pipeline] Tokenizer vocabSize=262145 differs from model=262144, using model size
[browser:log] [598.8ms][Loader] Initializing...
[browser:log] [631.1ms][HeapManager] Allocated segment 0: 1024MB
[browser:log] [631.2ms][HeapManager] Segmented heap: 1GB per segment
[browser:log] [631.3ms][HeapManager] Initialized with strategy: SEGMENTED
[browser:log] [631.4ms][Loader] Initialized (f16, subgroups, unified)
[browser:log] [631.6ms][Loader] Loading: gemma-3-1b-it
[browser:log] [631.9ms][Loader] [0.0s] Memory (start): | Heap=2.05 GB/2.05 GB (limit=4.00 GB) | GPU=0 B (0 active, 0 pooled, peak=0 B) | ShardCache=0 B (0 shards) | Layers=0, GPUBuffers=0
[browser:log] [2517.9ms][Loader] Embeddings tensor loaded: name=model.embed_tokens.weight, hasShape=true, shape=[262144,1152], isWeightBuffer=true
[browser:log] [2518.1ms][Loader] Layers: 0-25
[browser:log] [3402.8ms][Loader] Layers: 26 complete (0.88s)
[browser:warning] [3407.6ms][Loader] [FinalNorm] Falling back to role-only final norm selection because tensor groups are missing in manifest.
[browser:log] [3408.8ms][Loader] Complete: 0 B in 1.29s (0 B/s)
[browser:log] [3409.0ms][Loader] [2.8s] Memory (complete): | Heap=1.14 GB/1.14 GB (limit=4.00 GB) | GPU=2.04 GB (340 active, 0 pooled, peak=2.04 GB) | ShardCache=0 B (0 shards) | Layers=26, GPUBuffers=340
[browser:log] [3568.4ms][Pipeline] Model loaded successfully
[browser:warning] [3569.6ms][CommandRecorder] maxQuerySetSize unavailable; using fallback 4096
[browser:log] [3581.4ms][KernelSelect] matmul variant=f16 reason=path_override_adaptive_fallback
[browser:log] [3585.3ms][KernelSelect] attention variant=prefill_streaming_f16 reason=path_override:streaming
[browser:warning] [3718.7ms][Profile] Prefill (prefill):
[browser:warning] [3719.0ms][Profile] GPU Profile Report
──────────────────────────────────────────────────
Kernel                      Time (ms)       %
──────────────────────────────────────────────────
attention                       22.83    21.2
matmul:lm_head                  19.38    18.0
matmul:ffn_down:L0               2.60     2.4
matmul:ffn_up:L0                 2.11     2.0
matmul:ffn_gate:L0               2.11     2.0
rmsnorm                          1.23     1.1
matmul:ffn_up:L24                1.14     1.1
matmul:ffn_down:L23              1.01     0.9
matmul:ffn_down:L2               0.95     0.9
matmul:ffn_down:L13              0.94     0.9
matmul:ffn_down:L1               0.91     0.8
matmul:ffn_gate:L1               0.80     0.7
gelu                             0.74     0.7
matmul:ffn_down:L24              0.71     0.7
matmul:ffn_down:L6               0.69     0.6
matmul:ffn_down:L9               0.69     0.6
matmul:ffn_down:L22              0.68     0.6
matmul:ffn_down:L12              0.68     0.6
matmul:ffn_down:L4               0.68     0.6
matmul:ffn_down:L14              0.68     0.6
matmul:ffn_down:L11              0.68     0.6
matmul:ffn_down:L5               0.67     0.6
matmul:ffn_down:L10              0.67     0.6
matmul:ffn_down:L18              0.67     0.6
matmul:ffn_down:L15              0.67     0.6
matmul:ffn_down:L7               0.67     0.6
matmul:ffn_down:L21              0.67     0.6
matmul:ffn_down:L19              0.67     0.6
matmul:ffn_down:L20              0.67     0.6
matmul:ffn_down:L8               0.67     0.6
matmul:ffn_down:L16              0.67     0.6
matmul:ffn_down:L17              0.67     0.6
matmul:ffn_down:L3               0.67     0.6
matmul:ffn_down:L25              0.67     0.6
matmul:ffn_gate:L13              0.59     0.5
matmul:ffn_up:L22                0.58     0.5
matmul:ffn_up:L13                0.58     0.5
matmul:ffn_gate:L2               0.57     0.5
matmul:ffn_up:L2                 0.57     0.5
matmul:ffn_gate:L24              0.56     0.5
matmul:o_proj:L2                 0.55     0.5
matmul:ffn_gate:L22              0.54     0.5
matmul:ffn_up:L4                 0.54     0.5
matmul:ffn_up:L1                 0.54     0.5
matmul:ffn_up:L5                 0.54     0.5
matmul:ffn_gate:L20              0.54     0.5
matmul:ffn_gate:L7               0.54     0.5
matmul:ffn_up:L8                 0.54     0.5
matmul:ffn_gate:L21              0.54     0.5
matmul:ffn_gate:L5               0.54     0.5
matmul:ffn_up:L23                0.54     0.5
matmul:ffn_gate:L17              0.54     0.5
matmul:ffn_up:L7                 0.54     0.5
matmul:ffn_gate:L25              0.54     0.5
matmul:ffn_gate:L12              0.54     0.5
matmul:ffn_gate:L11              0.54     0.5
matmul:ffn_gate:L15              0.54     0.5
matmul:ffn_up:L12                0.54     0.5
matmul:ffn_gate:L10              0.54     0.5
matmul:ffn_up:L20                0.54     0.5
matmul:ffn_up:L15                0.54     0.5
matmul:ffn_up:L10                0.54     0.5
matmul:ffn_up:L21                0.54     0.5
matmul:ffn_gate:L19              0.54     0.5
matmul:ffn_up:L11                0.54     0.5
