[browser:warning] [4276.3ms][Profile] Batch decode (N=4):
[browser:warning] [4276.4ms][Profile] GPU Profile Report
──────────────────────────────────────────────────
Kernel                      Time (ms)       %
──────────────────────────────────────────────────
fused_ffn                       39.66    11.4
matmul:lm_head                  30.83     8.8
attention                       20.77     6.0
matmul_rmsnorm_fused:L9.ffn_down       11.46     3.3
matmul_rmsnorm_fused:L2.ffn_down       10.45     3.0
matmul_rmsnorm_fused:L20.ffn_down       10.40     3.0
matmul_rmsnorm_fused:L16.ffn_down        9.94     2.9
matmul_rmsnorm_fused:L5.ffn_down        9.90     2.8
matmul_rmsnorm_fused:L24.ffn_down        9.59     2.8
matmul_rmsnorm_fused:L12.ffn_down        9.42     2.7
matmul_rmsnorm_fused:L21.ffn_down        9.35     2.7
matmul_rmsnorm_fused:L13.ffn_down        9.30     2.7
matmul_rmsnorm_fused:L0.ffn_down        9.18     2.6
matmul_rmsnorm_fused:L23.ffn_down        9.15     2.6
matmul_rmsnorm_fused:L19.ffn_down        9.14     2.6
matmul_rmsnorm_fused:L6.ffn_down        9.11     2.6
matmul_rmsnorm_fused:L8.ffn_down        9.10     2.6
matmul_rmsnorm_fused:L17.ffn_down        9.09     2.6
matmul_rmsnorm_fused:L18.ffn_down        8.74     2.5
matmul_rmsnorm_fused:L25.ffn_down        8.71     2.5
matmul_rmsnorm_fused:L7.ffn_down        8.69     2.5
matmul_rmsnorm_fused:L10.ffn_down        8.69     2.5
matmul_rmsnorm_fused:L14.ffn_down        8.68     2.5
matmul_rmsnorm_fused:L1.ffn_down        8.68     2.5
matmul_rmsnorm_fused:L15.ffn_down        8.66     2.5
matmul_rmsnorm_fused:L22.ffn_down        8.66     2.5
matmul_rmsnorm_fused:L3.ffn_down        8.66     2.5
matmul_rmsnorm_fused:L11.ffn_down        8.65     2.5
matmul_rmsnorm_fused:L4.ffn_down        8.63     2.5
sample_phase2                    3.30     0.9
rmsnorm                          3.21     0.9
rope                             0.83     0.2
matmul:o_proj:L10                0.55     0.2
matmul:q_proj:L0                 0.18     0.1
matmul:o_proj:L0                 0.16     0.0
matmul:q_proj:L21                0.16     0.0
matmul:o_proj:L9                 0.15     0.0
matmul:o_proj:L2                 0.15     0.0
